Sr_No,Round,Institute,Program,Stream,Quota,Category,Seat_Gender,Opening_Rank,Closing_Rank,Remark
1453,Round 1,"S R GROUP OF INSTITUTIONS (COLLEGE OF SCIENCE AND ENGINEERING),JHANSI",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,OPEN,Both Male and Female Seats,1169050.0,1169050.0,Fresh Only
1454,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,SC,Both Male and Female Seats,288370.0,396572.0,Fresh Only
1455,Round 1,"RAJKIYA ENGINEERING COLLEGE,MAINPURI",Mechanical Engineering,B.Tech,Home State,BC(Girl),Female Seats,902718.0,1075637.0,Fresh Only
1456,Round 1,"GALGOTIA'S COLLEGE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Electronics Engineering (VLSI Design and Technology),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,544003.0,616406.0,Fresh Only
1457,Round 1,"J.P..INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,716118.0,716118.0,Fresh Only
1458,Round 1,LLOYD INSTITUTE OF ENGINEERING AND TECHNOLOGY,Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,533189.0,991967.0,Fresh Only
1459,Round 1,"SCHOOL OF MANAGEMENT SCIENCE (SMS INSTITUTE OF TECHNOLOGY),LUCKNOW",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,340197.0,648332.0,Fresh Only
1460,Round 1,"INDIAN INSTITUTE OF CARPET TECHNOLOGY,BHADOHI",Carpet & Textile Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,446392.0,516308.0,Fresh Only
1461,Round 1,"D. D. U. Gorakhpur University, Gorakhpur",Computer Science And Engineering(Artificial Intelligence & Machine Learning),B.Tech,Home State,BC(AF),Both Male and Female Seats,491233.0,491233.0,Fresh Only
1462,Round 1,"AJAY KUMAR GARG ENGG. COLLEGE,GHAZIABAD",Artificial Intelligence And Machine Learning,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,1206917.0,1206917.0,Fresh Only
1463,Round 1,"Baba Shaheb (Dr.) B R Ambedkar College of Agricultural Engineering and Technology, Etawah (CSAUAT)",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,81199.0,365156.0,Fresh Only
1464,Round 1,"Bundelkhand University, Jhansi",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,516672.0,669272.0,Fresh Only
1465,Round 1,"SRI RAM GROUP OF COLLEGES,MUZAFFARNAGAR",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,924631.0,1434994.0,Fresh Only
1466,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,402210.0,516277.0,Fresh Only
1467,Round 1,"FEROZE GANDHI INSTITUTE OF ENGG AND TECHNOLOGY, RAIBAREILLY",Aeronautical Engineering,B.Tech,Home State,EWS(GL),Female Seats,1035298.0,1035298.0,Fresh Only
1468,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science and Engineering (Artificial Intelligence) (Collaboration & Twining Program),B.Tech,Home State,OPEN(GIRL),Female Seats,301609.0,509358.0,Fresh Only
1469,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science,B.Tech,Home State,BC,Both Male and Female Seats,172313.0,226628.0,Fresh Only
1470,Round 1,"SAMRAT ASHOK RAJKIYA ENGINEERING COLLEGE, MIRZAPUR",Computer Science and Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,734783.0,734783.0,Fresh Only
1471,Round 1,"GREATER NOIDA INSTITUTE OF TECHNOLOGY,GAUTAM BUDDH NAGAR",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,766181.0,1200708.0,Fresh Only
1472,Round 1,"NOIDA INSTITUTE OF ENGG. & TECHNOLOGY,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Internet Of Things),B.Tech,Home State,BC,Both Male and Female Seats,568911.0,725719.0,Fresh Only
1473,Round 1,Ch. Charan Singh University Campus (SCRIET) Meerut,Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,403768.0,467298.0,Fresh Only
1474,Round 1,"INDERPRASTHA ENGG. COLLEGE,GHAZIABAD",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,697848.0,1246815.0,Fresh Only
1475,Round 1,"J.S.S. ACADEMY OF TECHNICAL EDUCATION,GAUTAM BUDDH NAGAR",Information Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,91863.0,136157.0,Fresh Only
1476,Round 1,"I.T.S. ENGG.COLLEGE,GAUTAM BUDDH NAGAR",Computer Science And Engineering(Artificial Intelligence & Machine Learning) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,230768.0,655914.0,Fresh Only
1477,Round 1,"KIET GROUP OF INSTITUTIONS(KRISHNA INSTT. OF ENGG. & TECHNOLOGY),GHAZIABAD",Computer Science And Engineering(Data Science),B.Tech,Home State,BC(Girl),Female Seats,213682.0,223464.0,Fresh Only
1478,Round 1,"MAA PATESHWARI DEVI RAJKIYA  ENGINEERING COLLEGE, GONDA",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1362926.0,1437487.0,Fresh Only
1479,Round 1,"BHARAT RATNA SARDAR VALLABHBHAI PATEL RAJKIYA ENGINEERING COLLEGE, BASTI",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,699258.0,836804.0,Fresh Only
1480,Round 1,"MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY,MEERUT",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC(Girl),Female Seats,660794.0,660794.0,Fresh Only
